# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       7.2884950       14.634227       287.04741
0.125       7.4141587       14.335177       295.97767
0.125       7.5398224       13.642555       296.24382
0.125       7.6654861       13.234009       301.98182
0.125       7.7911498       12.797559       306.62113
0.125       7.9168135       12.467021       313.38931
0.125       8.0424772       11.985278       315.85508
0.125       8.2938046       11.421668       330.11191
0.125       8.5451320       10.691651       337.96473
0.125       8.7964594       10.124950       349.12976
0.125       9.0477868       9.7500436       365.85071
0.125       9.2991143       8.9487344       364.54960
0.125       9.5504417       8.5761374       378.47078
0.125       9.8017691       8.0169501       382.46600
0.125       10.053096       7.7532151       399.07236
0.125       10.304424       7.4022595       410.30397
0.125       10.555751       6.9214137       412.41317
0.125       10.807079       6.5883467       421.28078
0.125       11.058406       6.2549917       428.52346
0.125       11.309734       6.1069243       447.55861
0.125       11.561061       5.7724199       451.87805
0.125       11.812388       5.5916795       466.90195
0.125       12.063716       5.2644729       468.23993
0.125       12.315043       5.1705150       489.22865
0.125       12.566371       4.8926462       491.86245
0.125       12.817698       4.6785702       499.12982
0.125       13.069025       4.4341072       501.42508
0.125       13.320353       4.2989753       514.73345
0.125       13.571680       4.1137664       520.96764
0.125       13.823008       3.9558060       529.31340
0.125       14.074335       3.8621598       545.48669
0.125       14.325663       3.6940804       550.20020
0.125       14.576990       3.5391693       555.36072
0.125       14.828317       3.4211304       565.08724
0.125       15.079645       3.3198190       576.71068
0.125       15.330972       3.1624787       577.30718
0.125       15.582300       3.0821808       590.77624
0.125       15.833627       2.9825485       599.78969
0.125       16.084954       2.8734563       605.80709
0.125       16.587609       2.6686541       617.04087
0.125       17.090264       2.4962209       631.24740
0.125       17.592919       2.3422514       646.12636
0.125       18.095574       2.1865386       656.36358
0.125       18.598229       2.0804864       678.03152
0.125       19.100883       1.9660375       694.10058
0.125       19.603538       1.8694112       713.47453
0.125       20.106193       1.7283693       711.69896
0.125       20.608848       1.6539188       733.40789
0.125       21.111503       1.6153539       770.00825
0.125       21.614157       1.4888438       761.61298
0.125       22.116812       1.4176464       776.97275
0.125       22.619467       1.3354111       782.94698
0.125       23.122122       1.2807055       802.05211
0.125       23.624777       1.2209114       815.56305
0.125       24.127432       1.1550067       821.84144
0.125       24.630086       1.1073929       838.24277
0.125       25.132741       1.0638644       855.61050
0.125       25.635396       1.0014929       854.74830
0.125       26.138051      0.98179292       888.19792
0.125       26.640706      0.93225984       892.98551
0.125       27.143361      0.87910369       890.63797
0.125       27.646015      0.84989204       909.77009
0.125       28.148670      0.80703609       911.87826
0.125       28.651325      0.77136597       919.10445
0.125       29.153980      0.74654123       937.16833
0.125       29.656635      0.71891997       949.98426
0.125       30.159289      0.69091900       960.19781
0.125       30.661944      0.66545156       971.81987
0.125       31.164599      0.63715310       977.00929
0.125       31.667254      0.62433541       1004.4295
0.125       32.169909      0.59373892       1001.4177
0.125       33.175218      0.54558652       1009.1954
0.125       34.180528      0.52242918       1056.9002
0.125       35.185838      0.47726437       1053.2536
0.125       36.191147      0.45094522       1082.9318
0.125       37.196457      0.42187167       1099.9054
0.125       38.201767      0.39274389       1109.2515
0.125       39.207076      0.37216179       1136.3063
0.125       40.212386      0.34635545       1140.9637
0.125       41.217696      0.33073331       1173.2737
0.125       42.223005      0.31266923       1192.3475
0.125       43.228315      0.29623611       1212.3086
0.125       44.233625      0.28049717       1229.8618
0.125       45.238934      0.26383904       1237.5034
0.125       46.244244      0.25022605       1253.6486
0.125       47.249554      0.23301524       1245.2247
0.125       48.254863      0.22383575       1274.1571
0.125       49.260173      0.21381191       1294.7620
0.125       50.265482      0.19830766       1275.9078
0.125       51.270792      0.19301902       1317.8939
0.125       52.276102      0.18280479       1323.0231
0.125       53.281411      0.17642691       1351.9550
0.125       54.286721      0.16954980       1374.1950
0.125       55.292031      0.15649310       1340.1490
0.125       56.297340      0.15478910       1399.1822
0.125       57.302650      0.14679817       1399.3135
0.125       58.307960      0.13729000       1378.7728
0.125       59.313269      0.13320283       1408.1188
0.125       60.318579      0.12670634       1408.7110
0.125       61.323889      0.12234068       1429.3224
0.125       62.329198      0.11720653       1437.7941
0.125       63.334508      0.11241580       1446.8344
0.125       64.339818      0.10736285       1448.6510
0.125       66.350437      0.10020387       1482.8121
0.125       68.361056     0.090337378       1462.0561
0.125       70.371675     0.085301445       1505.9839
0.125       72.382295     0.076531626       1470.3077
0.125       74.392914     0.072299738       1508.0012
0.125       76.403533     0.068733082       1553.0177
0.125       78.414153     0.063472561       1550.3853
0.125       80.424772     0.060076004       1583.2183
0.125       82.435391     0.054918161       1558.5737
0.125       84.446011     0.051784788       1579.8282
0.125       86.456630     0.048203790       1578.1430
0.125       88.467249     0.046501471       1631.1148
0.125       90.477868     0.042294990       1587.0341
0.125       92.488488     0.040237741       1612.7494
0.125       94.499107     0.037448799       1600.9997
0.125       96.509726     0.035415550       1612.7888
0.125       98.520346     0.032624431       1580.4872
0.125       100.53096     0.031006909       1595.9831
0.125       102.54158     0.029906170       1633.5451
0.125       104.55220     0.027923539       1616.7404
0.125       106.56282     0.026479984       1623.3237
0.125       108.57344     0.024891212       1613.9390
0.125       110.58406     0.023737454       1626.2302
0.125       112.59468     0.022434040       1622.3007
0.125       114.60530     0.021318140       1625.6748
0.125       116.61592     0.020678040       1661.3195
0.125       118.62654     0.019312113       1633.2236
0.125       120.63716     0.018149830       1614.3069
0.125       122.64778     0.017447815       1630.7612
